Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
December,1992,Sri Lanka ,New Zealand,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,New Zealand
January,1992,Pakistan ,Sri Lanka,Rawalpindi Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
April,1992,West Indies ,South Africa,Sabina Park,West Indies ,1,West Indies,South Africa
February,1992,New Zealand ,Sri Lanka,Seddon Park,New Zealand ,1,New Zealand,Sri Lanka
January,1992,Pakistan ,Sri Lanka,Sports Stadium,Pakistan ,1,Pakistan,Sri Lanka
December,1992,South Africa ,India,St George's Park,South Africa ,1,South Africa,India
December,1992,South Africa ,India,SuperSport Park,India ,0,South Africa,India
March,1992,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
March,1992,England ,South Africa,Sydney Cricket Ground,England ,1,England,South Africa
January,1992,Australia ,India,Sydney Cricket Ground,Australia ,1,Australia,India
January,1992,Australia ,India,Sydney Cricket Ground,Australia ,1,Australia,India
February,1992,Australia ,South Africa,Sydney Cricket Ground,South Africa ,0,Australia,South Africa
March,1992,India ,Pakistan,Sydney Cricket Ground,India ,1,India,Pakistan
December,1992,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
December,1992,Pakistan ,West Indies,Sydney Cricket Ground,West Indies ,0,Pakistan,West Indies
August,1992,England ,Pakistan,Trent Bridge,England ,1,England,Pakistan
February,1992,England ,India,WACA Ground,England ,1,England,India
March,1992,Australia ,Pakistan,WACA Ground,Pakistan ,0,Australia,Pakistan
March,1992,Pakistan ,Sri Lanka,WACA Ground,Pakistan ,1,Pakistan,Sri Lanka
December,1992,Pakistan ,West Indies,WACA Ground,Pakistan ,1,Pakistan,West Indies
December,1992,Australia ,West Indies,WACA Ground,West Indies ,0,Australia,West Indies
December,1992,South Africa ,India,Wanderers Stadium,South Africa ,1,South Africa,India
December,1993,Australia ,New Zealand,Adelaide Oval,Australia ,1,Australia,New Zealand
March,1993,New Zealand ,Australia,AMI Stadium,Australia ,0,New Zealand,Australia
March,1993,West Indies ,Pakistan,Arnos Vale Ground,Pakistan ,0,West Indies,Pakistan
March,1993,New Zealand ,Australia,Basin Reserve,New Zealand ,1,New Zealand,Australia
December,1993,New Zealand ,South Africa,Bellerive Oval,New Zealand ,1,New Zealand,South Africa
November,1993,South Africa ,West Indies,Brabourne Stadium,South Africa ,1,South Africa,West Indies
January,1993,Pakistan ,West Indies,Brisbane Cricket Ground,West Indies ,0,Pakistan,West Indies
January,1993,Australia ,West Indies,Brisbane Cricket Ground,West Indies ,0,Australia,West Indies
February,1993,South Africa ,Pakistan,Buffalo Park,Pakistan ,0,South Africa,Pakistan
March,1993,India ,England,Captain Roop Singh Stadium,India ,1,India,England
March,1993,India ,England,Captain Roop Singh Stadium,India ,1,India,England
March,1993,New Zealand ,Australia,Carisbrook,Australia ,0,New Zealand,Australia
November,1993,India ,South Africa,Eden Gardens,India ,1,India,South Africa
November,1993,Sri Lanka ,West Indies,Eden Gardens,West Indies ,0,Sri Lanka,West Indies
November,1993,India ,West Indies,Eden Gardens,India ,1,India,West Indies
March,1993,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
May,1993,England ,Australia,Edgbaston,Australia ,0,England,Australia
November,1993,India ,Sri Lanka,Green Park,India ,1,India,Sri Lanka
March,1993,India ,England,Keenan Stadium,England ,0,India,England
February,1993,South Africa ,Pakistan,Kingsmead,Pakistan ,0,South Africa,Pakistan
February,1993,Pakistan ,West Indies,Kingsmead,West Indies ,0,Pakistan,West Indies
May,1993,England ,Australia,Lord's,Australia ,0,England,Australia
February,1993,India ,England,M Chinnaswamy Stadium,England ,0,India,England
February,1993,South Africa ,West Indies,Mangaung Oval,West Indies ,0,South Africa,West Indies
January,1993,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
January,1993,Australia ,West Indies,Melbourne Cricket Ground,West Indies ,0,Australia,West Indies
December,1993,Australia ,South Africa,Melbourne Cricket Ground,South Africa ,0,Australia,South Africa
December,1993,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
November,1993,South Africa ,Sri Lanka,Nehru Stadium ,South Africa ,1,South Africa,Sri Lanka
February,1993,South Africa ,West Indies,Newlands,South Africa ,1,South Africa,West Indies
February,1993,Pakistan ,West Indies,Newlands,West Indies ,0,Pakistan,West Indies
May,1993,England ,Australia,Old Trafford,Australia ,0,England,Australia
November,1993,India ,South Africa,Punjab Cricket Association IS Bindra Stadium,India ,1,India,South Africa
March,1993,West Indies ,Pakistan,Queen's Park Oval,West Indies ,1,West Indies,Pakistan
March,1993,West Indies ,Pakistan,Queen's Park Oval,Pakistan ,0,West Indies,Pakistan
March,1993,Sri Lanka ,England,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,England
July,1993,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
August,1993,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
September,1993,Sri Lanka ,South Africa,R Premadasa Stadium,South Africa ,0,Sri Lanka,South Africa
September,1993,Sri Lanka ,South Africa,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,South Africa
December,1993,Sri Lanka ,West Indies,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,West Indies
March,1993,West Indies ,Pakistan,Sabina Park,West Indies ,1,West Indies,Pakistan
November,1993,India ,West Indies,Sardar Patel Stadium,West Indies ,0,India,West Indies
January,1993,India ,England,Sawai Mansingh Stadium,England ,0,India,England
January,1993,India ,England,Sector 16 Stadium,India ,1,India,England
March,1993,New Zealand ,Australia,Seddon Park,New Zealand ,1,New Zealand,Australia
February,1993,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
February,1993,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1993,Sri Lanka ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Sri Lanka,West Indies
October,1993,Pakistan ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Pakistan,West Indies
October,1993,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
November,1993,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
November,1993,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
November,1993,Sri Lanka ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Sri Lanka,West Indies
November,1993,Pakistan ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Pakistan,West Indies
December,1993,Sri Lanka ,West Indies,Sinhalese Sports Club Ground,West Indies ,0,Sri Lanka,West Indies
February,1993,South Africa ,West Indies,St George's Park,South Africa ,1,South Africa,West Indies
February,1993,South Africa ,Pakistan,SuperSport Park,Pakistan ,0,South Africa,Pakistan
January,1993,Australia ,Pakistan,Sydney Cricket Ground,Australia ,1,Australia,Pakistan
January,1993,Australia ,West Indies,Sydney Cricket Ground,West Indies ,0,Australia,West Indies
December,1993,Australia ,South Africa,Sydney Cricket Ground,Australia ,1,Australia,South Africa
March,1993,Sri Lanka ,England,Tyronne Fernando Stadium,Sri Lanka ,1,Sri Lanka,England
August,1993,Sri Lanka ,India,Tyronne Fernando Stadium,Sri Lanka ,1,Sri Lanka,India
February,1993,Pakistan ,West Indies,Wanderers Stadium,West Indies ,0,Pakistan,West Indies
February,1993,Pakistan ,West Indies,Wanderers Stadium,West Indies ,0,Pakistan,West Indies
November,1993,Sri Lanka ,West Indies,Wankhede Stadium,West Indies ,0,Sri Lanka,West Indies
March,1994,New Zealand ,Pakistan,AMI Stadium,New Zealand ,1,New Zealand,Pakistan
April,1994,New Zealand ,India,AMI Stadium,New Zealand ,1,New Zealand,India
October,1994,Australia ,South Africa,Arbab Niaz Stadium,Australia ,1,Australia,South Africa
March,1994,West Indies ,England,Arnos Vale Ground,West Indies ,1,West Indies,England
November,1994,India ,West Indies,Barabati Stadium,India ,1,India,West Indies
March,1994,New Zealand ,Pakistan,Basin Reserve,Pakistan ,0,New Zealand,Pakistan
March,1994,New Zealand ,India,Basin Reserve,India ,0,New Zealand,India
January,1994,New Zealand ,South Africa,Brisbane Cricket Ground,New Zealand ,1,New Zealand,South Africa
January,1994,Australia ,South Africa,Brisbane Cricket Ground,Australia ,1,Australia,South Africa
April,1994,South Africa ,Australia,Buffalo Park,Australia ,0,South Africa,Australia
December,1994,New Zealand ,Sri Lanka,Buffalo Park,Sri Lanka ,0,New Zealand,Sri Lanka
December,1994,New Zealand ,Pakistan,Buffalo Park,Pakistan ,0,New Zealand,Pakistan
March,1994,New Zealand ,Pakistan,Carisbrook,Pakistan ,0,New Zealand,Pakistan
November,1994,India ,West Indies,Eden Gardens,India ,1,India,West Indies
March,1994,New Zealand ,Pakistan,Eden Park,Pakistan ,0,New Zealand,Pakistan
March,1994,New Zealand ,India,Eden Park,India ,0,New Zealand,India
May,1994,England ,New Zealand,Edgbaston,England ,1,England,New Zealand
August,1994,England ,South Africa,Edgbaston,England ,1,England,South Africa
November,1994,India ,New Zealand,Feroz Shah Kotla,India ,1,India,New Zealand
October,1994,Australia ,South Africa,Gaddafi Stadium,Australia ,1,Australia,South Africa
October,1994,Pakistan ,Australia,Gaddafi Stadium,Australia ,0,Pakistan,Australia
February,1994,India ,Sri Lanka,Gandhi Stadium,Sri Lanka ,0,India,Sri Lanka
October,1994,India ,West Indies,Green Park,West Indies ,0,India,West Indies
October,1994,Pakistan ,Australia,Ibn-e-Qasim Bagh Stadium,Australia ,0,Pakistan,Australia
November,1994,India ,West Indies,Indira Priyadarshini Stadium,India ,1,India,West Indies
October,1994,Australia ,South Africa,Iqbal Stadium,Australia ,1,Australia,South Africa
October,1994,Pakistan ,South Africa,Iqbal Stadium,Pakistan ,1,Pakistan,South Africa
February,1994,West Indies ,England,Kensington Oval,England ,0,West Indies,England
February,1994,South Africa ,Australia,Kingsmead,South Africa ,1,South Africa,Australia
December,1994,Pakistan ,Sri Lanka,Kingsmead,Pakistan ,1,Pakistan,Sri Lanka
December,1994,South Africa ,Pakistan,Kingsmead,Pakistan ,0,South Africa,Pakistan
February,1994,India ,Sri Lanka,Lal Bahadur Shastri Stadium,India ,1,India,Sri Lanka
October,1994,India ,West Indies,MA Chidambaram Stadium,India ,1,India,West Indies
February,1994,India ,Sri Lanka,Madhavrao Scindia Cricket Ground,India ,1,India,Sri Lanka
April,1994,South Africa ,Australia,Mangaung Oval,Australia ,0,South Africa,Australia
December,1994,South Africa ,Sri Lanka,Mangaung Oval,Sri Lanka ,0,South Africa,Sri Lanka
March,1994,New Zealand ,India,McLean Park,New Zealand ,1,New Zealand,India
January,1994,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
January,1994,Australia ,South Africa,Melbourne Cricket Ground,South Africa ,0,Australia,South Africa
October,1994,India ,West Indies,Nahar Singh Stadium,West Indies ,0,India,West Indies
October,1994,Pakistan ,South Africa,National Stadium,Pakistan ,1,Pakistan,South Africa
November,1994,New Zealand ,West Indies,Nehru Stadium ,West Indies ,0,New Zealand,West Indies
April,1994,South Africa ,Australia,Newlands,Australia ,0,South Africa,Australia
December,1994,South Africa ,New Zealand,Newlands,South Africa ,1,South Africa,New Zealand
August,1994,England ,South Africa,Old Trafford,England ,1,England,South Africa
September,1994,Sri Lanka ,Australia,P Sara Oval,Sri Lanka ,1,Sri Lanka,Australia
March,1994,West Indies ,England,Queen's Park Oval,England ,0,West Indies,England
March,1994,West Indies ,England,Queen's Park Oval,West Indies ,1,West Indies,England
August,1994,Sri Lanka ,Pakistan,R Premadasa Stadium,Pakistan ,0,Sri Lanka,Pakistan
August,1994,Sri Lanka ,Pakistan,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
August,1994,Sri Lanka ,Pakistan,R Premadasa Stadium,Pakistan ,0,Sri Lanka,Pakistan
September,1994,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
September,1994,Australia ,India,R Premadasa Stadium,India ,0,Australia,India
October,1994,Pakistan ,South Africa,Rawalpindi Cricket Stadium,Pakistan ,1,Pakistan,South Africa
October,1994,Pakistan ,Australia,Rawalpindi Cricket Stadium,Pakistan ,1,Pakistan,Australia
October,1994,India ,New Zealand,Reliance Stadium,India ,1,India,New Zealand
February,1994,West Indies ,England,Sabina Park,West Indies ,1,West Indies,England
November,1994,India ,West Indies,Sawai Mansingh Stadium,India ,1,India,West Indies
April,1994,Australia ,Sri Lanka,Sharjah Cricket Stadium,Australia ,1,Australia,Sri Lanka
April,1994,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
April,1994,Australia ,New Zealand,Sharjah Cricket Stadium,Australia ,1,Australia,New Zealand
April,1994,New Zealand ,Sri Lanka,Sharjah Cricket Stadium,New Zealand ,1,New Zealand,Sri Lanka
April,1994,Australia ,India,Sharjah Cricket Stadium,India ,0,Australia,India
April,1994,New Zealand ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,New Zealand,Pakistan
April,1994,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
August,1994,Sri Lanka ,Pakistan,Sinhalese Sports Club Ground,Pakistan ,0,Sri Lanka,Pakistan
August,1994,Sri Lanka ,Pakistan,Sinhalese Sports Club Ground,Pakistan ,0,Sri Lanka,Pakistan
September,1994,Australia ,Pakistan,Sinhalese Sports Club Ground,Australia ,1,Australia,Pakistan
September,1994,Sri Lanka ,Pakistan,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,Pakistan
September,1994,Sri Lanka ,India,Sinhalese Sports Club Ground,India ,0,Sri Lanka,India
February,1994,South Africa ,Australia,St George's Park,Australia ,0,South Africa,Australia
April,1994,South Africa ,Australia,St George's Park,South Africa ,1,South Africa,Australia
December,1994,New Zealand ,Pakistan,St George's Park,Pakistan ,0,New Zealand,Pakistan
December,1994,South Africa ,Sri Lanka,St George's Park,South Africa ,1,South Africa,Sri Lanka
February,1994,South Africa ,Australia,SuperSport Park,South Africa ,1,South Africa,Australia
December,1994,Pakistan ,Sri Lanka,SuperSport Park,Pakistan ,1,Pakistan,Sri Lanka
December,1994,South Africa ,New Zealand,SuperSport Park,South Africa ,1,South Africa,New Zealand
January,1994,Australia ,New Zealand,Sydney Cricket Ground,New Zealand ,0,Australia,New Zealand
January,1994,Australia ,South Africa,Sydney Cricket Ground,Australia ,1,Australia,South Africa
January,1994,Australia ,South Africa,Sydney Cricket Ground,Australia ,1,Australia,South Africa
December,1994,Australia ,England,Sydney Cricket Ground,Australia ,1,Australia,England
January,1994,New Zealand ,South Africa,WACA Ground,South Africa ,0,New Zealand,South Africa
January,1994,Australia ,South Africa,WACA Ground,South Africa ,0,Australia,South Africa
February,1994,South Africa ,Australia,Wanderers Stadium,South Africa ,1,South Africa,Australia
December,1994,South Africa ,Pakistan,Wanderers Stadium,South Africa ,1,South Africa,Pakistan
October,1994,India ,West Indies,Wankhede Stadium,India ,1,India,West Indies
December,1995,Sri Lanka ,West Indies,Adelaide Oval,Sri Lanka ,1,Sri Lanka,West Indies
December,1995,Australia ,West Indies,Adelaide Oval,Australia ,1,Australia,West Indies
January,1995,New Zealand ,West Indies,AMI Stadium,West Indies ,0,New Zealand,West Indies
February,1995,New Zealand ,South Africa,AMI Stadium,New Zealand ,1,New Zealand,South Africa
March,1995,New Zealand ,Sri Lanka,AMI Stadium,New Zealand ,1,New Zealand,Sri Lanka
December,1995,New Zealand ,Pakistan,AMI Stadium,New Zealand ,1,New Zealand,Pakistan
March,1995,West Indies ,Australia,Arnos Vale Ground,West Indies ,1,West Indies,Australia
January,1995,New Zealand ,West Indies,Basin Reserve,West Indies ,0,New Zealand,West Indies
February,1995,Australia ,South Africa,Basin Reserve,Australia ,1,Australia,South Africa
December,1995,New Zealand ,Pakistan,Basin Reserve,Pakistan ,0,New Zealand,Pakistan
March,1995,West Indies ,Australia,Bourda,West Indies ,1,West Indies,Australia
November,1995,India ,New Zealand,Brabourne Stadium,India ,1,India,New Zealand
February,1995,Australia ,India,Carisbrook,India ,0,Australia,India
December,1995,New Zealand ,Pakistan,Carisbrook,Pakistan ,0,New Zealand,Pakistan
January,1995,New Zealand ,West Indies,Eden Park,West Indies ,0,New Zealand,West Indies
February,1995,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
February,1995,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
April,1995,New Zealand ,Sri Lanka,Eden Park,Sri Lanka ,0,New Zealand,Sri Lanka
December,1995,New Zealand ,Pakistan,Eden Park,New Zealand ,1,New Zealand,Pakistan
November,1995,India ,New Zealand,Gandhi Sports Complex Ground,India ,1,India,New Zealand
October,1995,Pakistan ,Sri Lanka,Iqbal Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
September,1995,Pakistan ,Sri Lanka,Jinnah Stadium ,Pakistan ,1,Pakistan,Sri Lanka
November,1995,India ,New Zealand,Keenan Stadium,New Zealand ,0,India,New Zealand
May,1995,England ,West Indies,Kennington Oval,England ,1,England,West Indies
March,1995,West Indies ,Australia,Kensington Oval,West Indies ,1,West Indies,Australia
May,1995,England ,West Indies,Lord's,England ,1,England,West Indies
February,1995,New Zealand ,India,McLean Park,New Zealand ,1,New Zealand,India
